datetime,OS,browser,browserVersion,colorDepth,currentResolution,fingerprint,isFlash,isJava,isSilverlight,language,timeZone,worksClickedPrediction
2017-02-05 16:38:53.671061,Mac OS,Chrome,55.0.2883.95,24,1440x900,285113028,True,False,False,en-GB,CET,0
2017-02-05 16:39:06.302222,Mac OS,Chrome,55.0.2883.95,24,1440x900,285113028,True,False,False,en-GB,CET,0
